day,model,method,precision,recall,roc_auc,accuracy,f1_score
08-11,rf,deepwalk,0.8269,0.596,0.7356,0.7356,0.6927
08-12,rf,heuristic,0.7193,0.649,0.6979,0.6979,0.6824
08-12,rf,node2vec,0.5723,0.7143,0.5902,0.5902,0.6355
08-12,rf,deepwalk,0.8265,0.5975,0.7361,0.7361,0.6936
08-13,rf,heuristic,0.7155,0.6416,0.6932,0.6932,0.6765
08-13,rf,node2vec,0.5703,0.706,0.5871,0.5871,0.6309
08-13,rf,deepwalk,0.8259,0.5916,0.7334,0.7334,0.6894
08-14,rf,heuristic,0.7198,0.6544,0.6998,0.6998,0.6855
08-14,rf,node2vec,0.5836,0.7452,0.6067,0.6067,0.6545
08-14,rf,deepwalk,0.8251,0.5874,0.7314,0.7314,0.6863
08-15,rf,heuristic,0.7194,0.654,0.6995,0.6995,0.6852
08-15,rf,node2vec,0.5761,0.7218,0.5953,0.5953,0.6407
08-15,rf,deepwalk,0.8275,0.6013,0.738,0.738,0.6965
08-16,rf,heuristic,0.7163,0.642,0.6939,0.6939,0.6771
08-16,rf,node2vec,0.5699,0.7058,0.5866,0.5866,0.6306
08-16,rf,deepwalk,0.8294,0.6064,0.7408,0.7408,0.7006
08-17,rf,heuristic,0.7112,0.6318,0.6876,0.6876,0.6691
08-17,rf,node2vec,0.5727,0.7133,0.5905,0.5905,0.6353
08-17,rf,deepwalk,0.8266,0.5976,0.7361,0.7361,0.6937
08-18,rf,heuristic,0.7164,0.637,0.6924,0.6924,0.6744
08-18,rf,node2vec,0.5735,0.7151,0.5917,0.5917,0.6365
08-18,rf,deepwalk,0.8245,0.5928,0.7333,0.7333,0.6897
08-19,rf,heuristic,0.7164,0.6422,0.694,0.694,0.6773
08-19,rf,node2vec,0.5726,0.7154,0.5908,0.5908,0.6361
08-19,rf,deepwalk,0.8278,0.6034,0.7389,0.7389,0.698
08-20,rf,heuristic,0.7173,0.6457,0.6956,0.6956,0.6796
08-20,rf,node2vec,0.5703,0.7099,0.5875,0.5875,0.6325
08-20,rf,deepwalk,0.826,0.6009,0.7371,0.7371,0.6957
08-21,rf,heuristic,0.7167,0.6456,0.6952,0.6952,0.6793
08-21,rf,node2vec,0.5712,0.7103,0.5885,0.5885,0.6332
08-21,rf,deepwalk,0.8254,0.5963,0.7351,0.7351,0.6924
08-22,rf,heuristic,0.7153,0.6394,0.6924,0.6924,0.6752
08-22,rf,node2vec,0.5768,0.7226,0.5963,0.5963,0.6415
08-22,rf,deepwalk,0.8274,0.6023,0.7383,0.7383,0.6971
08-23,rf,heuristic,0.7148,0.6332,0.6903,0.6903,0.6715
08-23,rf,node2vec,0.5659,0.6958,0.581,0.581,0.6242
08-23,rf,deepwalk,0.8278,0.5989,0.7372,0.7372,0.695
08-24,rf,heuristic,0.7114,0.634,0.6884,0.6884,0.6705
08-24,rf,node2vec,0.5724,0.71,0.5898,0.5898,0.6339
08-24,rf,deepwalk,0.8245,0.5908,0.7325,0.7325,0.6883
08-25,rf,heuristic,0.7163,0.6377,0.6925,0.6925,0.6747
08-25,rf,node2vec,0.5753,0.7232,0.5947,0.5947,0.6408
08-25,rf,deepwalk,0.8273,0.5967,0.7361,0.7361,0.6934
08-26,rf,heuristic,0.717,0.6418,0.6943,0.6943,0.6773
08-26,rf,node2vec,0.5803,0.7316,0.6012,0.6012,0.6472
08-26,rf,deepwalk,0.8273,0.5949,0.7353,0.7353,0.6921
08-27,rf,heuristic,0.7176,0.6429,0.6949,0.6949,0.6782
08-27,rf,node2vec,0.5714,0.7099,0.5888,0.5888,0.6332
08-27,rf,deepwalk,0.8269,0.6006,0.7374,0.7374,0.6958
08-29,rf,heuristic,0.7086,0.6221,0.6832,0.6832,0.6625
08-29,rf,node2vec,0.5722,0.7136,0.5901,0.5901,0.6351
08-29,rf,deepwalk,0.8247,0.5866,0.731,0.731,0.6856
08-30,rf,heuristic,0.7107,0.622,0.6844,0.6844,0.6634
08-30,rf,node2vec,0.5665,0.697,0.5818,0.5818,0.625
08-30,rf,deepwalk,0.8253,0.591,0.733,0.733,0.6888
08-31,rf,heuristic,0.7097,0.6219,0.6838,0.6838,0.6629
08-31,rf,node2vec,0.5731,0.7147,0.5912,0.5912,0.6361
08-31,rf,deepwalk,0.8241,0.5854,0.7302,0.7302,0.6845
09-01,rf,heuristic,0.7124,0.6294,0.6877,0.6877,0.6683
09-01,rf,node2vec,0.5754,0.7184,0.5941,0.5941,0.639
09-01,rf,deepwalk,0.8257,0.5869,0.7315,0.7315,0.6861
09-02,rf,heuristic,0.7143,0.6366,0.691,0.691,0.6732
09-02,rf,node2vec,0.5783,0.7301,0.5988,0.5988,0.6454
09-02,rf,deepwalk,0.8233,0.5909,0.732,0.732,0.688
09-03,rf,heuristic,0.7126,0.6319,0.6885,0.6885,0.6698
09-03,rf,node2vec,0.5684,0.7025,0.5846,0.5846,0.6284
09-03,rf,deepwalk,0.8235,0.5873,0.7307,0.7307,0.6856
09-04,rf,heuristic,0.7148,0.6384,0.6918,0.6918,0.6744
09-04,rf,node2vec,0.5811,0.7378,0.6029,0.6029,0.6501
09-04,rf,deepwalk,0.8246,0.5868,0.731,0.731,0.6856
09-05,rf,heuristic,0.7108,0.6294,0.6866,0.6866,0.6676
09-05,rf,node2vec,0.5812,0.7387,0.6032,0.6032,0.6505
09-05,rf,deepwalk,0.8236,0.5929,0.733,0.733,0.6895
09-06,rf,heuristic,0.7094,0.6229,0.6838,0.6838,0.6633
09-06,rf,node2vec,0.5665,0.696,0.5817,0.5817,0.6246
09-06,rf,deepwalk,0.8227,0.5871,0.7303,0.7303,0.6852
09-07,rf,heuristic,0.7115,0.6232,0.6852,0.6852,0.6644
09-07,rf,node2vec,0.574,0.7131,0.5919,0.5919,0.636
09-07,rf,deepwalk,0.8255,0.5883,0.732,0.732,0.687
09-08,rf,heuristic,0.7153,0.6387,0.6922,0.6922,0.6749
09-08,rf,node2vec,0.5793,0.7293,0.5998,0.5998,0.6457
09-08,rf,deepwalk,0.8258,0.5962,0.7352,0.7352,0.6925
09-09,rf,heuristic,0.7115,0.6261,0.6861,0.6861,0.6661
09-09,rf,node2vec,0.5709,0.7081,0.588,0.588,0.6322
09-09,rf,deepwalk,0.8222,0.5838,0.7287,0.7287,0.6827
09-10,rf,heuristic,0.7109,0.625,0.6854,0.6854,0.6652
09-10,rf,node2vec,0.5756,0.7211,0.5948,0.5948,0.6402
09-10,rf,deepwalk,0.823,0.5832,0.7289,0.7289,0.6826
09-11,rf,heuristic,0.7167,0.6421,0.6942,0.6942,0.6774
09-11,rf,node2vec,0.5731,0.7124,0.5909,0.5909,0.6352
09-11,rf,deepwalk,0.8285,0.6006,0.7381,0.7381,0.6964
09-12,rf,heuristic,0.7127,0.6379,0.6904,0.6904,0.6732
09-12,rf,node2vec,0.5801,0.7352,0.6016,0.6016,0.6485
09-12,rf,deepwalk,0.825,0.5915,0.733,0.733,0.689
09-13,rf,heuristic,0.7151,0.6372,0.6917,0.6917,0.6739
09-13,rf,node2vec,0.5732,0.7145,0.5913,0.5913,0.6361
09-13,rf,deepwalk,0.8272,0.5993,0.737,0.737,0.695
09-14,rf,heuristic,0.7145,0.6379,0.6915,0.6915,0.674
09-14,rf,node2vec,0.5797,0.7308,0.6005,0.6005,0.6465
09-14,rf,deepwalk,0.8275,0.599,0.7371,0.7371,0.695
09-15,rf,heuristic,0.7116,0.633,0.6882,0.6882,0.67
09-15,rf,node2vec,0.5793,0.7313,0.6001,0.6001,0.6465
09-15,rf,deepwalk,0.8265,0.5934,0.7344,0.7344,0.6908
09-16,rf,heuristic,0.7141,0.6357,0.6906,0.6906,0.6726
09-16,rf,node2vec,0.5805,0.7374,0.6023,0.6023,0.6496
09-16,rf,deepwalk,0.8247,0.5924,0.7332,0.7332,0.6895
09-17,rf,heuristic,0.7163,0.6446,0.6946,0.6946,0.6785
09-17,rf,node2vec,0.5738,0.7191,0.5924,0.5924,0.6382
09-17,rf,deepwalk,0.8292,0.6066,0.7408,0.7408,0.7006
09-18,rf,heuristic,0.7136,0.6383,0.6911,0.6911,0.6739
09-18,rf,node2vec,0.5838,0.7438,0.6068,0.6068,0.6542
09-18,rf,deepwalk,0.8275,0.5919,0.7342,0.7342,0.6901
09-19,rf,heuristic,0.7123,0.6312,0.6881,0.6881,0.6693
09-19,rf,node2vec,0.5777,0.7272,0.5978,0.5978,0.6439
09-19,rf,deepwalk,0.8229,0.579,0.7272,0.7272,0.6797
09-20,rf,heuristic,0.7193,0.6514,0.6986,0.6986,0.6836
09-20,rf,node2vec,0.581,0.7394,0.6031,0.6031,0.6507
09-20,rf,deepwalk,0.8272,0.6024,0.7383,0.7383,0.6972
09-21,rf,heuristic,0.7121,0.6282,0.6871,0.6871,0.6675
09-21,rf,node2vec,0.5741,0.7177,0.5927,0.5927,0.6379
09-21,rf,deepwalk,0.8272,0.5952,0.7355,0.7355,0.6923
09-22,rf,heuristic,0.7124,0.6329,0.6887,0.6887,0.6703
09-22,rf,node2vec,0.5805,0.7363,0.6021,0.6021,0.6492
09-22,rf,deepwalk,0.825,0.5953,0.7345,0.7345,0.6916
09-23,rf,heuristic,0.717,0.6376,0.6929,0.6929,0.6749
09-23,rf,node2vec,0.5806,0.7376,0.6024,0.6024,0.6497
09-23,rf,deepwalk,0.8246,0.5879,0.7314,0.7314,0.6864
09-24,rf,heuristic,0.7176,0.6449,0.6956,0.6956,0.6793
09-24,rf,node2vec,0.5749,0.7209,0.594,0.594,0.6397
09-24,rf,deepwalk,0.8286,0.6051,0.74,0.74,0.6994
09-25,rf,heuristic,0.7182,0.6483,0.697,0.697,0.6815
09-25,rf,node2vec,0.5858,0.7576,0.611,0.611,0.6607
09-25,rf,deepwalk,0.8279,0.6022,0.7385,0.7385,0.6972
09-26,rf,heuristic,0.7109,0.6259,0.6857,0.6857,0.6657
09-26,rf,node2vec,0.5832,0.7433,0.6061,0.6061,0.6536
09-26,rf,deepwalk,0.8248,0.5895,0.7321,0.7321,0.6876
09-27,rf,heuristic,0.7126,0.6307,0.6882,0.6882,0.6692
09-27,rf,node2vec,0.5678,0.6997,0.5835,0.5835,0.6269
09-27,rf,deepwalk,0.8234,0.5842,0.7295,0.7295,0.6835
09-28,rf,heuristic,0.7126,0.6254,0.6866,0.6866,0.6662
09-28,rf,node2vec,0.572,0.7147,0.59,0.59,0.6354
09-28,rf,deepwalk,0.824,0.5895,0.7318,0.7318,0.6873
09-29,rf,heuristic,0.7126,0.6336,0.689,0.689,0.6708
09-29,rf,node2vec,0.5832,0.7426,0.606,0.606,0.6533
09-29,rf,deepwalk,0.8249,0.5995,0.7361,0.7361,0.6944
09-30,rf,heuristic,0.7126,0.633,0.6888,0.6888,0.6704
09-30,rf,node2vec,0.579,0.7292,0.5995,0.5995,0.6455
09-30,rf,deepwalk,0.8229,0.5888,0.7311,0.7311,0.6865
